year,GEOID,NAME,variable,estimate,moe,dataset
2010,4748000,"Memphis city, Tennessee",B25001_001,293845,3302,ACS1
2011,4748000,"Memphis city, Tennessee",B25001_001,294145,3322,ACS1
2012,4748000,"Memphis city, Tennessee",B25001_001,296840,3327,ACS1
2013,4748000,"Memphis city, Tennessee",B25001_001,297610,2917,ACS1
2014,4748000,"Memphis city, Tennessee",B25001_001,300637,3089,ACS1
2015,4748000,"Memphis city, Tennessee",B25001_001,299953,3373,ACS1
2016,4748000,"Memphis city, Tennessee",B25001_001,303888,3228,ACS1
2017,4748000,"Memphis city, Tennessee",B25001_001,298121,3353,ACS1
2018,4748000,"Memphis city, Tennessee",B25001_001,300305,3664,ACS1
2019,4748000,"Memphis city, Tennessee",B25001_001,301473,4146,ACS1
2005,4748000,"Memphis city, Tennessee",B25001_001,299386,3148,ACS1
2006,4748000,"Memphis city, Tennessee",B25001_001,294262,3647,ACS1
2007,4748000,"Memphis city, Tennessee",B25001_001,297383,3353,ACS1
2008,4748000,"Memphis city, Tennessee",B25001_001,298204,3685,ACS1
2009,4748000,"Memphis city, Tennessee",B25001_001,309811,3679,ACS1
2005,4748000,"Memphis city, Tennessee",B25071_001,34.2,1.5,ACS1
2006,4748000,"Memphis city, Tennessee",B25071_001,33.7,1.4,ACS1
2007,4748000,"Memphis city, Tennessee",B25071_001,33.2,1.7,ACS1
2008,4748000,"Memphis city, Tennessee",B25071_001,33.8,1.9,ACS1
2009,4748000,"Memphis city, Tennessee",B25071_001,35.2,1.7,ACS1
2010,4748000,"Memphis city, Tennessee",B25071_001,35.3,1.9,ACS1
2011,4748000,"Memphis city, Tennessee",B25071_001,36.1,2,ACS1
2012,4748000,"Memphis city, Tennessee",B25071_001,37,1.9,ACS1
2013,4748000,"Memphis city, Tennessee",B25071_001,34.6,2,ACS1
2014,4748000,"Memphis city, Tennessee",B25071_001,35.6,2,ACS1
2015,4748000,"Memphis city, Tennessee",B25071_001,32.9,1,ACS1
2016,4748000,"Memphis city, Tennessee",B25071_001,33,1.3,ACS1
2017,4748000,"Memphis city, Tennessee",B25071_001,32.3,1.9,ACS1
2018,4748000,"Memphis city, Tennessee",B25071_001,35,1.5,ACS1
2019,4748000,"Memphis city, Tennessee",B25071_001,33,1.7,ACS1
2005,4748000,"Memphis city, Tennessee",B25064_001,683,19,ACS1
2006,4748000,"Memphis city, Tennessee",B25064_001,680,16,ACS1
2007,4748000,"Memphis city, Tennessee",B25064_001,719,20,ACS1
2008,4748000,"Memphis city, Tennessee",B25064_001,756,15,ACS1
2009,4748000,"Memphis city, Tennessee",B25064_001,745,14,ACS1
2010,4748000,"Memphis city, Tennessee",B25064_001,781,16,ACS1
2011,4748000,"Memphis city, Tennessee",B25064_001,785,18,ACS1
2012,4748000,"Memphis city, Tennessee",B25064_001,797,17,ACS1
2013,4748000,"Memphis city, Tennessee",B25064_001,800,15,ACS1
2014,4748000,"Memphis city, Tennessee",B25064_001,834,14,ACS1
2015,4748000,"Memphis city, Tennessee",B25064_001,826,17,ACS1
2016,4748000,"Memphis city, Tennessee",B25064_001,857,14,ACS1
2017,4748000,"Memphis city, Tennessee",B25064_001,863,19,ACS1
2018,4748000,"Memphis city, Tennessee",B25064_001,863,17,ACS1
2019,4748000,"Memphis city, Tennessee",B25064_001,923,18,ACS1
2005,4748000,"Memphis city, Tennessee",B25058_001,525,17,ACS1
2006,4748000,"Memphis city, Tennessee",B25058_001,515,12,ACS1
2007,4748000,"Memphis city, Tennessee",B25058_001,550,15,ACS1
2008,4748000,"Memphis city, Tennessee",B25058_001,573,16,ACS1
2009,4748000,"Memphis city, Tennessee",B25058_001,570,9,ACS1
2010,4748000,"Memphis city, Tennessee",B25058_001,578,11,ACS1
2011,4748000,"Memphis city, Tennessee",B25058_001,591,13,ACS1
2012,4748000,"Memphis city, Tennessee",B25058_001,594,10,ACS1
2013,4748000,"Memphis city, Tennessee",B25058_001,618,10,ACS1
2014,4748000,"Memphis city, Tennessee",B25058_001,624,11,ACS1
2015,4748000,"Memphis city, Tennessee",B25058_001,628,10,ACS1
2016,4748000,"Memphis city, Tennessee",B25058_001,642,13,ACS1
2017,4748000,"Memphis city, Tennessee",B25058_001,664,15,ACS1
2018,4748000,"Memphis city, Tennessee",B25058_001,660,14,ACS1
2019,4748000,"Memphis city, Tennessee",B25058_001,703,15,ACS1
